features,pval,coeff,base_feat
school_closing_0.0,3.7558415809982365e-06,-2.7708022000158905e-06,school_closing
school_closing_1.0,1.7864580672655681e-06,-2.8101342457283078e-06,school_closing
school_closing_2.0,4.033669329961155e-06,-2.365513433919307e-06,school_closing
school_closing_3.0,1.085803021049664e-06,-2.6749947836311167e-06,school_closing
workplace_closing_0.0,4.979862323857637e-07,-2.951296310654949e-06,workplace_closing
workplace_closing_1.0,4.001240782324024e-06,-2.805696279728339e-06,workplace_closing
workplace_closing_2.0,4.628930508932588e-06,-2.9572755754480335e-06,workplace_closing
workplace_closing_3.0,3.965849690357943e-06,-1.9595388633097774e-06,workplace_closing
cancel_public_events_0.0,0.00011237295394860929,-2.5739605990731952e-06,cancel_public_events
cancel_public_events_1.0,1.905499562722717e-07,-3.727474957251251e-06,cancel_public_events
cancel_public_events_2.0,7.287942030084395e-07,-4.117794059926679e-06,cancel_public_events
restrictions_on_gatherings_0.0,5.5768279317031786e-08,-3.447855996774399e-06,restrictions_on_gatherings
restrictions_on_gatherings_1.0,0.0004496797535194134,-8.827565543620188e-07,restrictions_on_gatherings
restrictions_on_gatherings_2.0,3.6594769589012243e-05,-1.651236024039136e-06,restrictions_on_gatherings
restrictions_on_gatherings_3.0,2.2818539258219613e-07,-3.117901186465322e-06,restrictions_on_gatherings
restrictions_on_gatherings_4.0,6.381732464072532e-05,-2.672421299446673e-06,restrictions_on_gatherings
public_transport_closing_0.0,6.745170434863583e-06,-4.028167805456589e-06,public_transport_closing
public_transport_closing_1.0,1.9818574872532066e-06,-3.9654477460168335e-06,public_transport_closing
public_transport_closing_2.0,1.6755396892149435e-07,-3.153033622724697e-06,public_transport_closing
stay_at_home_requirements_0.0,8.465586681663021e-07,-3.833853355767612e-06,stay_at_home_requirements
stay_at_home_requirements_1.0,2.505457648692886e-06,-3.0879639832378462e-06,stay_at_home_requirements
stay_at_home_requirements_2.0,8.669687257930691e-06,-3.0839709330171126e-06,stay_at_home_requirements
stay_at_home_requirements_3.0,6.084988678531773e-07,-1.3213025198683582e-06,stay_at_home_requirements
restrictions_on_internal_movement_0.0,1.751034057202878e-06,-4.40291867262552e-06,restrictions_on_internal_movement
restrictions_on_internal_movement_1.0,8.504055723848174e-06,-2.8255957749834843e-06,restrictions_on_internal_movement
restrictions_on_internal_movement_2.0,1.1838131294108003e-06,-4.023221283764995e-06,restrictions_on_internal_movement
international_travel_controls_0.0,9.612102756047069e-07,-1.838997199015609e-06,international_travel_controls
international_travel_controls_1.0,3.5021119039706e-06,-2.4552524746170476e-06,international_travel_controls
international_travel_controls_2.0,4.090373711301873e-06,-2.4228753027887034e-06,international_travel_controls
international_travel_controls_3.0,1.2580044436385788e-06,-2.6912761462061878e-06,international_travel_controls
international_travel_controls_4.0,3.049277316389535e-06,-2.4777610022862213e-06,international_travel_controls
income_support_0.0,1.4220437338752646e-06,-4.349620948672923e-06,income_support
income_support_1.0,1.7542881190007215e-06,-4.0707063682936825e-06,income_support
income_support_2.0,8.925659094540633e-06,-3.166012457328176e-06,income_support
debt_relief_0.0,6.178316102208607e-06,-3.972108931375612e-06,debt_relief
debt_relief_1.0,1.5121700301489395e-06,-3.5610007669438208e-06,debt_relief
debt_relief_2.0,8.846590005297879e-07,-3.7842099904379602e-06,debt_relief
public_information_campaigns_0.0,7.1817358184211045e-06,-4.67462377667769e-06,public_information_campaigns
public_information_campaigns_1.0,4.581956285259242e-06,-4.929763110104421e-06,public_information_campaigns
public_information_campaigns_2.0,6.772379017942762e-07,-7.249818094298505e-06,public_information_campaigns
testing_policy_0.0,7.804952664710735e-07,-1.9832696505729165e-06,testing_policy
testing_policy_1.0,4.316724583470057e-06,-3.0187264092980704e-06,testing_policy
testing_policy_2.0,6.584219816436001e-07,-3.3106420965535707e-06,testing_policy
testing_policy_3.0,5.963200117454848e-06,-3.4545739455986504e-06,testing_policy
contact_tracing_0.0,1.259604205059063e-08,-4.482361399318636e-06,contact_tracing
contact_tracing_1.0,1.8678130752575047e-05,-3.7213505395802475e-06,contact_tracing
contact_tracing_2.0,9.594021287527564e-06,-4.106419100204333e-06,contact_tracing
